,goodsCode,qty,bigbox,smallbox,box,sore
282,031132501038	,10446.0,40,20.0,5,19.0
283,031121501043	,10405.0,100,20.0,5,3704.0
284,660050020001	,10388.0,100,100.0,10,706.0
285,660200010002	,10380.0,120,60.0,10,31.0
286,660050020024	,10326.0,200,200.0,20,1091.0
287,660010010782	,10325.0,30,30.0,5,251.0
288,660200010856	,10282.0,80,80.0,10,150.0
289,660200010167	,10257.0,120,60.0,5,339.0
290,660120010016	,10204.0,120,60.0,5,144.0
291,031350301004	,10158.0,40,20.0,0,0.0
292,670010010014	,10157.0,40,20.0,15,10.0
293,660110010085	,10152.0,80,40.0,5,108.0
294,660050020195	,10136.0,120,120.0,5,330.0
295,670050020002	,10112.0,40,20.0,5,26.0
296,660010010434	,10097.0,30,30.0,5,371.0
297,031121502019	,10096.0,100,20.0,5,3534.0
298,031440201151	,10080.0,120,60.0,0,0.0
299,660250010131	,10070.0,40,40.0,10,231.0
300,031132302013	,10048.0,40,20.0,5,458.0
301,660050020041	,9999.0,200,200.0,30,78.0
302,020050010128	,9903.0,120,120.0,10,217.0
303,660110010019	,9872.0,120,60.0,5,471.0
304,660200010060	,9865.0,120,120.0,10,336.0
305,031160203047	,9850.0,200,50.0,10,606.0
306,031160103116	,9833.0,40,20.0,5,806.0
307,031150601193	,9786.0,120,60.0,5,684.0
308,660150030071	,9699.0,80,40.0,10,47.0
309,031150601071	,9697.0,120,60.0,10,235.0
310,660200010758	,9665.0,120,60.0,10,263.0
311,031121501030	,9586.0,100,20.0,5,3114.0
312,660200010159	,9506.0,120,60.0,10,451.0
313,660240010225	,9506.0,80,40.0,5,75.0
314,660010010805	,9479.0,30,30.0,5,337.0
315,660150030061	,9472.0,80,40.0,5,259.0
316,031121501045	,9466.0,100,20.0,5,3853.0
317,020050010009	,9431.0,80,40.0,5,1154.0
318,031160103193	,9418.0,40,20.0,5,466.0
319,660110040001	,9362.0,120,60.0,10,691.0
320,660270030022	,9333.0,120,60.0,5,422.0
321,660200010960	,9304.0,120,60.0,10,133.0
322,031132501043	,9104.0,40,20.0,5,1073.0
323,660110010088	,9101.0,80,40.0,10,140.0
324,660200010098	,9089.0,120,120.0,10,392.0
325,660200010148	,9056.0,100,100.0,10,290.0
326,660050020105	,9001.0,120,120.0,10,446.0
327,660050010230	,8978.0,60,20.0,5,155.0
328,031150611009	,8929.0,120,60.0,5,402.0
329,660200010862	,8918.0,120,60.0,10,32.0
330,031150611007	,8846.0,192,96.0,20,657.0
331,031150601265	,8841.0,120,60.0,5,565.0
332,660110010090	,8814.0,80,40.0,5,200.0
333,660010010558	,8725.0,20,20.0,5,177.0
334,020050010010	,8699.0,80,40.0,5,1049.0
335,660110010063	,8648.0,80,40.0,10,251.0
336,660050020107	,8607.0,120,120.0,10,567.0
337,660200010057	,8594.0,150,150.0,10,415.0
338,670030010003	,8529.0,40,40.0,5,298.0
339,660330050002	,8512.0,120,120.0,5,343.0
340,660200010149	,8432.0,100,100.0,10,253.0
341,031132302004	,8398.0,40,20.0,5,362.0
342,660050020042	,8375.0,200,200.0,20,787.0
343,031160103161	,8355.0,16,16.0,5,874.0
344,660250010068	,8354.0,80,40.0,5,162.0
345,031121502047	,8322.0,100,20.0,5,3891.0
346,020060010003	,8305.0,40,20.0,5,2678.0
347,660050010044	,8297.0,60,60.0,5,806.0
348,660050020011	,8233.0,400,400.0,20,735.0
349,660050010047	,8217.0,60,60.0,5,566.0
350,660200010966	,8177.0,120,60.0,10,146.0
351,031132501065	,8147.0,40,20.0,5,1568.0
352,031121505026	,8141.0,100,20.0,5,3116.0
353,660110010087	,8123.0,80,40.0,5,64.0
354,031440201130	,8080.0,120,60.0,40,1.0
355,660010010825	,8045.0,20,20.0,5,44.0
356,020080010006	,8014.0,120,60.0,5,374.0
357,660200010881	,8012.0,120,60.0,10,427.0
358,660200010127	,8000.0,120,60.0,0,0.0
359,031132501042	,7966.0,40,20.0,5,1245.0
360,660110010084	,7953.0,80,40.0,10,112.0
361,031131209014	,7910.0,20,20.0,5,90.0
362,031150601212	,7856.0,80,80.0,10,37.0
363,660110010071	,7821.0,80,40.0,5,267.0
364,031160103206	,7720.0,12,12.0,5,1361.0
365,660010010657	,7700.0,30,30.0,5,178.0
366,660200010796	,7688.0,150,150.0,10,271.0
367,031150601262	,7620.0,120,60.0,5,259.0
368,020040030001	,7611.0,100,20.0,5,3504.0
369,660010010826	,7512.0,20,20.0,5,41.0
370,660200010153	,7385.0,80,80.0,10,266.0
371,031132501035	,7369.0,20,20.0,5,199.0
372,660050020067	,7348.0,120,120.0,10,294.0
373,660200010252	,7333.0,120,60.0,10,208.0
374,660050040018	,7316.0,160,20.0,5,395.0
375,031150601304	,7304.0,150,150.0,0,4.0
376,660010010850	,7295.0,30,30.0,5,138.0
377,660010010783	,7273.0,30,30.0,5,194.0
378,660110010080	,7237.0,80,40.0,5,171.0
379,031150615018	,7197.0,200,50.0,30,11.0
380,660200010685	,7186.0,120,60.0,5,485.0
381,020050010127	,7183.0,120,120.0,20,151.0
382,660200010108	,7168.0,80,80.0,10,338.0
383,660050020237	,7141.0,40,40.0,0,0.0
384,031121501015	,7111.0,100,20.0,5,3135.0
385,660240010236	,7105.0,80,40.0,10,161.0
386,660200010012	,7020.0,120,120.0,10,554.0
387,031452701058	,7000.0,40,20.0,0,0.0
388,031150601194	,6973.0,80,40.0,5,547.0
389,020060010033	,6946.0,40,20.0,5,2371.0
390,660010010614	,6924.0,30,30.0,5,320.0
391,031132501105	,6918.0,40,20.0,5,57.0
392,031132501020	,6908.0,40,20.0,5,117.0
393,660200010865	,6896.0,120,60.0,10,57.0
394,660010020183	,6882.0,120,60.0,10,293.0
395,031121501038	,6853.0,100,20.0,5,3071.0
396,660240010202	,6825.0,80,40.0,5,52.0
397,660250010143	,6812.0,80,40.0,5,242.0
398,660050010043	,6808.0,60,60.0,5,335.0
399,031121502024	,6805.0,100,20.0,5,2898.0
400,031150703003	,6803.0,200,50.0,10,573.0
401,031131209013	,6794.0,20,20.0,5,102.0
402,660200010972	,6794.0,120,60.0,10,94.0
403,660200010794	,6698.0,120,60.0,10,109.0
404,660240010197	,6674.0,80,40.0,5,190.0
405,660110010031	,6661.0,120,60.0,5,148.0
406,660200010654	,6656.0,120,60.0,10,158.0
407,660270020061	,6630.0,40,40.0,5,130.0
408,020040040005	,6541.0,100,20.0,5,2426.0
409,660200010056	,6531.0,120,120.0,10,406.0
410,660200010726	,6516.0,120,60.0,5,158.0
411,660010010828	,6463.0,20,20.0,5,25.0
412,031121501027	,6440.0,100,20.0,5,1586.0
413,670010010015	,6386.0,40,20.0,5,18.0
414,660400010065	,6380.0,120,60.0,5,221.0
415,660200010885	,6368.0,120,60.0,10,328.0
416,660200010798	,6284.0,150,150.0,10,179.0
417,660010010571	,6209.0,30,30.0,5,220.0
418,660110050003	,6207.0,80,80.0,5,1658.0
419,031410102234	,6160.0,160,160.0,0,0.0
420,031121401043	,6150.0,18,18.0,5,759.0
421,031131601008	,6140.0,40,20.0,5,436.0
422,660110010058	,6104.0,80,40.0,5,116.0
423,660110050001	,6103.0,100,100.0,0,2.0
424,660010020182	,6093.0,120,60.0,10,316.0
425,660270020033	,6081.0,40,40.0,5,464.0
426,660110010027	,6075.0,80,40.0,5,127.0
427,031121505019	,6062.0,100,20.0,5,1583.0
428,660150030058	,6056.0,40,20.0,5,206.0
429,031121501026	,6048.0,100,20.0,5,1334.0
430,031440103092	,6040.0,80,40.0,0,0.0
431,660050020098	,6014.0,80,80.0,10,157.0
432,660200010645	,6006.0,120,60.0,35,17.0
433,670070010003	,5999.0,80,40.0,5,55.0
434,660010020331	,5975.0,120,60.0,10,48.0
435,031121502031	,5973.0,100,20.0,5,1892.0
436,031150601301	,5969.0,200,50.0,5,417.0
437,660120020029	,5960.0,120,60.0,10,499.0
438,660200010152	,5942.0,80,80.0,10,247.0
439,660270030004	,5934.0,120,60.0,5,199.0
440,020040040003	,5918.0,100,20.0,5,2003.0
441,031510101039	,5837.0,200,40.0,5,23.0
442,031160103099	,5812.0,40,20.0,5,581.0
443,660150030052	,5804.0,40,20.0,5,39.0
444,020080010014	,5779.0,120,60.0,5,129.0
445,660010010594	,5731.0,30,30.0,5,258.0
446,031132501022	,5695.0,40,20.0,5,347.0
447,660270030021	,5666.0,120,60.0,10,514.0
448,660050020213	,5647.0,60,60.0,5,2493.0
449,660440010161	,5644.0,120,10.0,5,142.0
450,660330020009	,5636.0,40,20.0,5,552.0
451,660250010173	,5629.0,80,40.0,5,227.0
452,660010010865	,5601.0,20,20.0,5,80.0
453,660010020335	,5596.0,120,60.0,5,26.0
454,031510101041	,5534.0,200,100.0,10,35.0
455,660050020230	,5522.0,90,90.0,10,54.0
456,660250010175	,5500.0,80,40.0,5,280.0
457,031132501072	,5487.0,20,20.0,5,85.0
458,020020010027	,5477.0,20,20.0,5,673.0
459,031121508017	,5438.0,100,20.0,5,3504.0
460,660220020156	,5427.0,40,40.0,5,48.0
461,020050010014	,5425.0,120,60.0,5,532.0
462,031121501034	,5418.0,100,20.0,5,1248.0
463,031131802005	,5348.0,20,20.0,5,545.0
464,660110010061	,5343.0,80,40.0,5,146.0
465,660110010024	,5333.0,80,40.0,5,331.0
466,660010010556	,5322.0,20,20.0,5,198.0
467,020050010117	,5277.0,120,120.0,10,121.0
468,031452501091	,5250.0,40,20.0,0,0.0
469,660140020004	,5245.0,40,20.0,5,210.0
470,031160203111	,5227.0,120,60.0,10,147.0
471,020050010072	,5219.0,120,60.0,10,353.0
472,031132801003	,5213.0,100,100.0,10,134.0
473,660250020022	,5203.0,250,250.0,20,265.0
474,660200010650	,5201.0,120,60.0,10,222.0
475,660110010055	,5200.0,120,60.0,5,100.0
476,020060010004	,5194.0,40,20.0,5,2125.0
477,660120020020	,5193.0,120,60.0,10,362.0
478,660010500022	,5148.0,20,20.0,5,21.0
479,660200010717	,5115.0,120,60.0,10,175.0
480,660200010236	,5115.0,120,60.0,10,316.0
481,660200010802	,5113.0,120,120.0,10,159.0
482,031132501070	,5099.0,40,20.0,5,36.0
483,660010010498	,5051.0,30,30.0,5,172.0
484,031440106006	,5050.0,420,420.0,400,1.0
485,660120020024	,5044.0,120,60.0,5,59.0
486,660200010800	,5030.0,120,120.0,10,148.0
487,660110010015	,5003.0,120,60.0,0,3.0
488,031150601389	,5000.0,200,50.0,0,0.0
489,031150601285	,5000.0,200,100.0,0,0.0
490,031150601355	,5000.0,140,140.0,0,0.0
491,031150601356	,5000.0,140,140.0,0,0.0
492,031150601390	,5000.0,200,50.0,40,2.0
493,031440103091	,5000.0,80,40.0,0,0.0
494,031440101125	,5000.0,80,40.0,15,3.0
495,660010020044	,4998.0,120,60.0,0,1.0
496,031150601027	,4994.0,200,50.0,10,227.0
497,031150001003	,4968.0,10,10.0,0,0.0
498,031121502037	,4960.0,100,20.0,5,2525.0
499,660240010198	,4957.0,80,40.0,10,87.0
500,660050010011	,4945.0,60,60.0,10,339.0
501,660120020021	,4920.0,120,60.0,5,374.0
502,660010010897	,4900.0,20,20.0,5,108.0
503,660010010881	,4898.0,20,20.0,5,28.0
504,660240010217	,4896.0,80,40.0,5,121.0
505,031121501006	,4893.0,100,20.0,5,2557.0
506,660120020023	,4867.0,120,60.0,5,166.0
507,660010500024	,4840.0,40,40.0,5,56.0
508,660400010067	,4821.0,120,60.0,5,107.0
509,660240010092	,4793.0,120,60.0,5,78.0
510,660400010064	,4781.0,120,60.0,5,246.0
511,660050010083	,4732.0,60,20.0,5,134.0
512,020040040004	,4707.0,100,20.0,5,2046.0
513,660200010964	,4705.0,120,60.0,5,101.0
514,660250020021	,4699.0,250,250.0,10,139.0
515,660200010248	,4693.0,120,60.0,10,261.0
516,031160103186	,4683.0,40,20.0,5,511.0
517,660010500021	,4675.0,20,20.0,5,48.0
518,660200010864	,4634.0,120,60.0,10,35.0
519,020040030026	,4627.0,100,20.0,5,1568.0
520,031160103185	,4593.0,40,20.0,5,562.0
521,660050010015	,4582.0,60,60.0,10,168.0
522,670050030002	,4571.0,40,40.0,5,100.0
523,020020010119	,4551.0,10,10.0,5,917.0
524,020060010002	,4541.0,40,20.0,5,2393.0
525,020050010113	,4508.0,120,120.0,15,169.0
526,031121501047	,4505.0,100,20.0,5,2381.0
527,020040030014	,4444.0,100,20.0,5,1683.0
528,031132701001	,4438.0,40,20.0,5,507.0
529,031121501025	,4430.0,100,20.0,5,1270.0
530,031150601039	,4412.0,80,40.0,5,774.0
531,660050010218	,4404.0,80,40.0,10,176.0
532,660120020018	,4391.0,120,60.0,10,261.0
533,660440010160	,4329.0,120,10.0,5,118.0
534,031160103187	,4313.0,80,40.0,5,186.0
535,660140020039	,4295.0,40,20.0,5,165.0
536,660010010839	,4292.0,30,30.0,5,184.0
537,660010010557	,4277.0,20,20.0,5,214.0
538,660250010069	,4260.0,80,40.0,5,190.0
539,031150601025	,4243.0,200,50.0,5,142.0
540,660200010814	,4236.0,120,60.0,5,49.0
541,660220020155	,4205.0,40,40.0,5,106.0
542,020050010070	,4180.0,120,60.0,30,1.0
543,660110010091	,4166.0,80,40.0,5,107.0
544,031160103101	,4163.0,40,20.0,5,99.0
545,031132501036	,4136.0,40,20.0,10,7.0
546,031150601031	,4135.0,200,50.0,5,162.0
547,670040010003	,4134.0,30,30.0,5,329.0
548,031121505024	,4130.0,100,20.0,5,1257.0
549,660010010808	,4124.0,20,20.0,5,69.0
550,031150601104	,4122.0,120,60.0,10,370.0
551,660050010012	,4089.0,60,60.0,5,187.0
552,031160103080	,4069.0,80,40.0,0,1.0
553,020050010096	,4063.0,120,120.0,10,893.0
554,660050010172	,4060.0,40,40.0,5,98.0
555,660050010217	,4033.0,80,40.0,10,103.0
556,660110010054	,4005.0,120,60.0,5,82.0
557,660110010101	,4004.0,80,40.0,0,2.0
558,660200010129	,4003.0,120,60.0,0,3.0
559,660250020032	,4000.0,40,40.0,0,0.0
560,660150030060	,3996.0,80,40.0,5,218.0
561,670010010017	,3988.0,40,20.0,5,107.0
562,660010010898	,3974.0,20,20.0,5,104.0
563,031160203070	,3966.0,120,60.0,5,238.0
564,660010010652	,3957.0,30,30.0,5,122.0
565,031150601300	,3940.0,80,40.0,5,322.0
566,020040030010	,3932.0,100,20.0,5,2296.0
567,020060010035	,3924.0,40,20.0,5,1864.0
568,660140020005	,3914.0,40,20.0,5,344.0
569,660050010174	,3910.0,40,20.0,5,99.0
570,660410010011	,3904.0,60,60.0,5,105.0
571,031121502048	,3901.0,100,20.0,5,2393.0
572,660200010001	,3898.0,120,60.0,5,198.0
